#group,false,false,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_time,_value,_field,_measurement,code,crypto,description,symbol
,,0,2024-09-04T03:23:37Z,51345.6093,price,coindesk,EUR,bitcoin,Euro,&euro;
,,1,2024-09-04T03:23:37Z,43294.8959,price,coindesk,GBP,bitcoin,British Pound Sterling,&pound;
,,2,2024-09-04T03:23:37Z,56753.9171,price,coindesk,USD,bitcoin,United States Dollar,&#36;

